,song,artist,length
0,Too Easy,"Bien, DJ Edu",3:00
1,No Body (feat. Bien),"Darassa, Bien",3:23
2,Slime You Out,"Drake, SZA",5:10
3,Terminator,King Promise,3:54
4,LELE,"YBW Smith, Lufasa",3:04
5,Asiwaju,Ruger,3:36
6,NANA,Joshua Baraka,2:26
7,I Told Them...,Burna Boy,2:33
8,WY@,Brent Faiyaz,3:28
9,Bongos (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",2:55
10,Body & Soul,Joeboy,2:34
11,KINARE,"Lilmaina, mtap3li",2:34
12,Trench to Triumph,"Crayon, Ayra Starr",3:41
13,Bayanni,Bayanni,2:39
14,Bad Meets Evil,"6uff, Rezman",2:31
15,Water,Tyla,3:20
16,Seven (feat. Latto),"Jung Kook, Latto",3:04
17,Timeless,"Davido, Musa Keys",2:49
18,Who Is Your Guy?,Spyro,2:40
19,People (feat. Ayra Starr & Omah Lay) [Remix],"Libianca, Ayra Starr, Omah Lay",3:04
20,NDANI YA COCKPIT 3,Wakadinali,3:44
21,Nitangoja,Kinoti,2:38
22,The Lion of Sudah,"Bensoul, Bien",4:24
23,"Soweto (with Don Toliver, Rema and Tempoe)","Victony, Rema, Tempoe, Don Toliver",3:39
24,Cheat On Me (feat. Dave),"Burna Boy, Dave",3:42
25,Ngwai,"danski, Lilmaina",2:12
